31.690000	32.100000	1F
32.580000	44.870000	1F
46.130000	61.640000	1F
63.860000	99.590000	1F
101.160000	122.840000	1F
109.463640	110.396277	2F
123.640000	128.790000	2F
129.450000	130.070000	1F
132.920000	148.350000	2F
149.250000	151.120000	2F
152.020000	152.854590	1F
152.859253	154.491369	2F
154.620000	155.110000	1F
155.820000	177.370000	2F
180.360000	182.370000	2F
185.050000	187.210000	2F
192.500000	193.980000	2F
195.190000	195.400000	2F
195.910000	197.400000	1F
197.540000	215.410000	2F
217.040000	219.630000	1F
220.070000	223.530000	1M
224.690000	229.150000	1M
230.560000	231.090000	1M
231.610000	233.210000	1M
239.090000	240.517833	1M
240.522496	241.823525	2F
241.734925	242.648909	1M
242.648909	244.689054	1F
246.180000	250.150000	1M
275.170000	276.790000	1M
278.140000	280.425383	2F
278.140000	301.290000	1M
280.425383	283.670961	1F
308.150000	309.870000	2F
312.100000	318.250000	3F
319.190000	324.380000	3F
328.440000	330.290000	3F
