31.971531	44.566377	1
46.103470	61.663042	1
63.838261	75.783336	1
77.176035	93.506482	1
94.374008	100.218454	1
101.047553	123.097849	1
109.776377	110.745211	2 
123.632338	124.397391	2
124.877150	128.929486	2
129.497744	130.359448	1
132.879349	151.305831	2
151.943958	152.964902	1
153.102891	154.817856	2
154.688600	155.404746	1
155.833269	169.974523	2
171.530247	177.501620	2
180.342913	182.681157	2
185.047349	187.264489	2
192.360184	195.890840	2
195.890840	197.530406	1
197.530406	200.485816	2
200.485816	201.023799	1
201.023799	215.900994	2
217.018880	219.627280	1
220.074434	233.517010	3
222.515151	223.041489	1
239.069176	244.197476	3
240.121851	242.515990	2
242.720936	245.180284	1
246.195697	249.605249	3
275.148937	277.645549	3
278.241754	281.353203	2
279.038248	283.710079	1
289.867766	301.139780	3
308.485221	309.915183	4
312.095060	324.894851	4
328.406876	330.131447	4
