32.362791	44.454589	1 
45.535211	62.396654	1
63.440014	100.013509	1
100.525873	122.948797	1
109.925429	110.549581	2
111.434574	113.027561	2
123.060586	129.358009	2
129.469797	130.457263	1
132.879349	151.324463	2
151.622566	152.814977	1
153.038554	154.640857	2
154.678120	155.497903	1
155.833269	187.842063	2
192.201817	195.853577	2
195.853577	197.344091	1
197.344091	215.640154	2
216.758040	219.478229	1
219.962646	233.526326	3
222.384731	223.167251	1
238.547496	239.003966	1
239.003966	240.326797	3
240.121851	242.385570	2
241.817311	242.925881	3
242.683673	244.723814	1
246.130487	249.064937	3
265.153176	265.805276	1
274.804256	276.732609	3
277.524444	278.437384	2
278.437384	279.089484	1
279.126747	282.126407	3
279.462113	283.309503	2
283.467870	301.270200	3
308.042724	309.849973	1
312.123007	324.429066	4
328.295087	330.158230	4
