32.418686	44.678166	1
45.796051	61.707291	1
63.644960	75.978966	 1 
77.059589	99.976246	1
101.056869	109.031120	1  
110.158321	110.419161	2
110.540266	123.004691	1
123.619529	128.771119	2
129.609533	130.289580	3
133.307871	137.704889	2 
138.515356	151.380357	2
151.864774	153.001291	4
153.052528	154.640857	2
154.715383	155.050749	4
155.814637	157.854779	2
158.404406	164.236043	2
165.148983	166.266869	2
167.887803	169.434211	2
171.614089	177.464357	2
180.314966	182.438949	2
184.991454	186.146603	2
186.798703	187.264489	2
192.294974	194.102223	2
194.922006	195.294634	2
195.909471	197.381354	1
197.474511	200.362383	2
200.530066	201.005167	1
201.116956	215.509734	2
217.000249	219.375756	1
220.037171	228.272263	5
222.454599	222.757360	1
228.756680	229.106019	5
230.563929	233.405221	5
238.696547	238.882861	1
239.101781	240.345429	5
240.345429	242.297071	2
241.207132	241.407420	5
241.994310	242.953829	5
242.730251	244.719156	1
246.121171	246.731351	5
247.341530	248.967122	5
265.190439	265.637593	2
274.916044	276.788503	5
277.692127	278.325596	1
278.325596	279.066195	3
279.116267	279.259496	1
279.167503	279.442317	5
279.466771	279.817274	3
279.909267	280.253949	3
281.129626	281.346216	5
281.219289	283.358410	3
283.577330	301.344726	5
308.163829	309.910525	3
312.076429	324.373171	3
328.304403	334.229197	3
