32.530474	61.819080	1F 
64.017589	122.967429	1F 
123.340057	128.817697	2F
129.143747	130.047371	1F 
132.581246	151.138149	2F
151.836827	152.717162	1F
152.728807	154.333439	2F
154.566331	155.013486	1F 
155.488587	177.278043	2F
180.426754	182.271266	2F 
184.963507	187.180647	2F
192.434710	193.962487	2F
194.866111	195.201477	3F
195.797683	197.278881	1F 
197.325460	200.325120	2F
200.325120	201.098324	1F
201.098324	215.374656	2F
216.841881	217.605770	1F
218.229923	219.496860	4F
219.869489	223.362881	6M
224.536661	227.853056	6M 
230.470771	232.911489	6M
238.417076	238.799020	1F
238.854914	240.140483	6M
240.156436	241.975079	2F
241.975079	242.511345	6M
242.481035	244.607448	1F 
246.337490	249.023485	6M
265.060184	265.409923	1F
275.109351	276.624886	6M
277.310375	278.401560	2F? 
278.401560	282.831588	1F 
280.873049	281.488590	 6M
283.577697	301.204542	6M
307.583781	310.008638	5F
311.948524	324.595086	5F
328.288330	332.130795	5F
